,assist_percentage,assists,block_percentage,blocks,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,name,offensive_rebound_percentage,offensive_rebounds,personal_fouls,player_id,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage
0,,142,,292,,,0.587,875,513,0.494,432,0.581,251,2042.0,Kenyon Martin,,,231.0,kenyon-martin-1,1279,,124,0.01,9,0.222,2,,869,0.592,14.3,139.0,866,0.59,511,
1,,37,,130,,,0.569,452,253,0.566,256,0.613,157,1332.0,Stromile Swift,,,131.0,stromile-swift-1,671,,65,0.073,33,0.242,8,,348,0.585,18.0,126.0,419,0.585,245,
2,,94,,89,,,0.519,1349,690,0.453,611,0.702,429,2204.0,Marcus Fizer,,,181.0,marcus-fizer-1,1830,,90,0.053,72,0.292,21,,716,0.558,12.1,225.0,1277,0.524,669,
3,,149,,22,,,0.547,601,290,0.473,284,0.718,204,1735.0,Mike Miller,,,122.0,mike-miller-1,862,,81,0.376,226,0.345,78,,389,0.586,16.0,140.0,375,0.565,212,
4,,45,,30,,,0.567,293,140,0.324,95,0.737,70,879.0,DerMarr Johnson,,,64.0,dermarr-johnson-1,402,,31,0.478,140,0.371,52,,123,0.594,12.0,46.0,153,0.575,88,
5,,55,,264,,,0.501,1003,498,0.581,583,0.684,399,2041.0,Chris Mihm,,,180.0,chris-mihm-1,1404,,36,0.03,30,0.3,9,,945,0.548,14.6,159.0,973,0.503,489,
6,,76,,16,,,0.476,255,105,0.2,51,0.784,40,577.0,Jamal Crawford,,,19.0,jamal-crawford-1,283,,19,0.396,101,0.327,33,,47,0.507,16.0,53.0,154,0.468,72,
7,,91,,165,,,0.591,340,201,0.479,163,0.521,85,1351.0,Joel Przybilla,,,150.0,joel-przybilla-1,487,,33,0.0,0,,0,,339,0.583,25.2,141.0,340,0.591,201,
8,,198,,29,,,0.472,543,223,0.51,277,0.733,203,1659.0,Keyon Dooling,,,103.0,keyon-dooling-1,716,,76,0.365,198,0.338,67,,142,0.531,16.6,134.0,345,0.452,156,
9,,66,,81,,,0.499,608,301,0.362,220,0.614,135,1661.0,Jerome Moiso,,,176.0,jerome-moiso-1,742,,61,0.036,22,0.227,5,,421,0.521,16.5,141.0,586,0.505,296,
10,,51,,424,,,0.6,825,495,0.709,585,0.598,350,2261.0,Etan Thomas,,,242.0,etan-thomas-1,1340,,85,0.0,0,,0,,847,0.608,15.9,148.0,825,0.6,495,
11,,249,,21,,,0.503,1767,805,0.248,438,0.767,336,3456.0,Courtney Alexander,,,200.0,courtney-alexander-1,2112,,127,0.259,458,0.362,166,,441,0.535,10.0,220.0,1309,0.488,639,
12,,816,,16,,,0.459,1331,540,0.324,431,0.738,318,2755.0,Mateen Cleaves,,,194.0,mateen-cleaves-1,1541,,195,0.343,457,0.313,143,,256,0.502,25.0,353.0,874,0.454,397,
13,,118,,110,,,0.491,1045,479,0.428,447,0.711,318,2602.0,Jason Collier,,,243.0,jason-collier-1,1345,,60,0.179,187,0.369,69,,693,0.535,17.9,256.0,858,0.478,410,
14,,147,,92,,,0.537,1268,616,0.367,465,0.731,340,3868.0,Desmond Mason,,,271.0,desmond-mason-1,1702,,158,0.275,349,0.372,130,,795,0.572,13.0,222.0,919,0.529,486,
15,,104,,17,,,0.519,893,405,0.338,302,0.728,220,2190.0,Quentin Richardson,,,144.0,quentin-richardson-1,1147,,59,0.355,317,0.369,117,,652,0.553,11.8,138.0,576,0.5,288,
16,,62,,268,,,0.503,784,394,0.554,434,0.636,276,2272.0,Jamaal Magloire,,,290.0,jamaal-magloire-1,1064,,68,0.0,0,,0,,789,0.537,20.0,201.0,784,0.503,394,
17,,660,,33,,,0.49,1505,705,0.48,722,0.748,540,2975.0,Speedy Claxton,,,186.0,speedy-claxton-1,2015,,288,0.134,202,0.322,65,,566,0.545,16.0,264.0,1303,0.491,640,
18,,129,,42,,,0.547,1161,562,0.367,426,0.746,318,2573.0,Morris Peterson,,,238.0,morris-peterson-1,1588,,119,0.333,387,0.377,146,,645,0.582,12.8,170.0,774,0.537,416,
19,,37,,31,,,0.507,284,144,0.496,141,0.61,86,746.0,Donnell Harvey,,,101.0,donnell-harvey-1,374,,27,0.004,1,0.0,0,,258,0.533,14.6,60.0,283,0.509,144,
20,5.9,76,10.6,241,,,0.506,630,319,0.587,370,0.641,237,2038.0,Mamadou N'Diaye,,,,mamadou-ndiaye-1,875,2.3,88,0.003,2,0.0,0,15.2,798,0.543,,,628,0.508,319,
21,,302,,18,,,0.464,797,316,0.363,289,0.727,210,2261.0,Erick Barkley,,,157.0,erick-barkley-1,949,,167,0.409,326,0.328,107,,202,0.508,13.4,145.0,471,0.444,209,
22,,69,,64,,,0.587,729,428,0.737,537,0.596,320,2007.0,Mark Madsen,,,204.0,mark-madsen-1,1176,,47,0.003,2,0.0,0,,857,0.598,12.9,107.0,727,0.589,428,
23,,82,,26,,,0.508,1091,485,0.434,474,0.831,394,2464.0,Dan Langhi,,,140.0,dan-langhi-1,1502,,58,0.33,360,0.383,138,,559,0.571,11.7,150.0,731,0.475,347,
24,,403,,52,,,0.541,1642,747,0.249,409,0.79,323,3260.0,A.J. Guyton,,,111.0,aj-guyton-1,2100,,129,0.417,684,0.414,283,,429,0.572,13.6,218.0,958,0.484,464,
25,,124,,193,,,0.542,596,323,0.555,331,0.656,217,2184.0,Jake Voskuhl,,,309.0,jake-voskuhl-1,863,,86,0.0,0,,0,,880,0.573,23.0,160.0,596,0.542,323,
